timestamp,buy_and_hold_equity,buy_and_hold_drawdown,fixed_50_equity,fixed_50_drawdown,momentum_30_equity,momentum_30_drawdown,momentum_60_equity,momentum_60_drawdown,momentum_90_equity,momentum_90_drawdown,momentum_180_equity,momentum_180_drawdown,momentum_270_equity,momentum_270_drawdown,ma_50_200_equity,ma_50_200_drawdown,vol_target_14_equity,vol_target_14_drawdown,vol_target_30_equity,vol_target_30_drawdown,hmm_3_state_walkforward_equity,hmm_3_state_walkforward_drawdown
2020-05-14 00:00:00+00:00,1.0493413168667696,0.0,1.024670658433385,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-15 00:00:00+00:00,0.9983787172036616,-0.0485662756664125,0.9997884396010044,-0.0242831378332063,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-16 00:00:00+00:00,1.005328260033489,-0.0419435088715455,1.003268117433698,-0.0208872390592398,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-17 00:00:00+00:00,1.0373454521887309,-0.0114318043950248,1.0192439083151918,-0.0052960920404315,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-18 00:00:00+00:00,1.0431204847731468,-0.0059283209320276,1.0220810378218417,-0.0025272711677938,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-19 00:00:00+00:00,1.047578479865218,-0.0016799462417198,1.0242650771139563,-0.0003958162713941,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-20 00:00:00+00:00,1.0192766408311806,-0.0286509980616784,1.0104290801467437,-0.0138986884902265,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-21 00:00:00+00:00,0.9718268555699496,-0.0738696361716421,0.9869101251574636,-0.0368513853355115,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-22 00:00:00+00:00,0.9826878604396948,-0.0635193290835964,0.9924249118779076,-0.0314693763211464,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-23 00:00:00+00:00,0.9836684050332632,-0.062584890900512,0.9929200420820342,-0.0309861672040984,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-24 00:00:00+00:00,0.9345007913747752,-0.109440583007726,0.9681050186589693,-0.0552037274697594,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-25 00:00:00+00:00,0.9537912648489028,-0.0910571712769015,0.97809709376205,-0.0454522282725855,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-26 00:00:00+00:00,0.9474504098104932,-0.0970998715275147,0.9748458730214103,-0.0486251704407649,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2020-05-27 00:00:00+00:00,0.9863389155547636,-0.0600399510619907,0.9948523551233888,-0.029100377828311,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
