year,nostra_observations,nostra_return,nostra_annualized_volatility,nostra_sharpe,nostra_maximum_drawdown,nostra_ending_equity,bitcoin_observations,bitcoin_return,bitcoin_annualized_volatility,bitcoin_sharpe,bitcoin_maximum_drawdown,bitcoin_ending_equity,exposure_mean,absolute_exposure_mean,exposure_minimum,exposure_maximum,turnover,modeled_cost_rate_sum,positive_exposure_share,negative_exposure_share,zero_exposure_share,active_return,volatility_reduction,drawdown_reduction,partial_period,nostra_rank_among_12,best_public_strategy,best_public_return
2020,232,1.014816888348209,0.29512672410660684,3.8852969333925444,-0.08927708948641633,2.014816888348208,232,2.0995528986749763,0.5460357342649197,3.5375496496824863,-0.17543011107284034,3.09955289867497,0.5072687370689655,0.5072687370689655,0.0,0.7899019999999999,6.05773,0.015144325,0.9956896551724138,0.0,0.004310344827586207,-1.0847360103267674,0.25090901015831285,0.08615302158642402,True,7,Bitcoin passif,2.0995528986749763
2021,365,0.9344737670114132,0.366835919740954,1.982090880456747,-0.1944884749508421,3.897610415841174,365,0.5978952157803306,0.8109634797767586,0.9814264655244436,-0.5314140778607926,4.952760747850783,0.36574256164383556,0.3805370821917808,-0.1,0.85,6.304710999999999,0.0157617775,0.9260273972602739,0.07397260273972603,0.0,0.3365785512310826,0.44412756003580467,0.33692560290995055,False,2,Momentum 60 j,1.312486912473398
2022,365,-0.10086882731698488,0.26998789214531976,-0.25934078432284413,-0.19544072026335313,3.504463023856805,365,-0.6420705572611564,0.6373925597500095,-1.2879200468654113,-0.6693123705410299,1.772738894497049,0.3822696114842234,0.3921326251828535,-0.1,0.7681638479933658,9.001030001688237,0.022502575004220593,0.9506849315068493,0.049315068493150684,0.0,0.5412017299441715,0.36740466760468976,0.47387165027767675,False,2,Moyennes mobiles 50/200,-0.07063688349702124
2023,365,0.8272665604532492,0.24073077335039092,2.6247950815779233,-0.12153175179080855,6.403588095838424,365,1.5560728793887457,0.4406447961918934,2.3490687612923282,-0.20002746848356978,4.53124981046149,0.504295519817904,0.5130626431055753,-0.1,0.8391467454593791,7.06483346819569,0.01766208367048923,0.9561643835616438,0.043835616438356165,0.0,-0.7288063189354965,0.19991402284150248,0.07849571669276123,False,6,Momentum 30 j,1.558961271845356
2024,366,0.9223428672487384,0.3618560015815565,1.9813505333639267,-0.13956439516264196,12.309891900833913,366,1.2130576455447022,0.5307706148015907,1.7562962125420392,-0.26151375053867343,10.027917036914774,0.6255278630057264,0.6255278630057264,0.2422077467024547,0.8996360050042884,7.924774873510666,0.019811937183776662,1.0,0.0,0.0,-0.2907147782959638,0.1689146132200342,0.12194935537603147,False,6,Ciblage de volatilité 30 j,1.2192825822815876
2025,365,0.05692926242752394,0.2424638457267252,0.3493674321177725,-0.1876467561130869,13.010684967310928,365,-0.06334722578437879,0.4168793273113621,0.050741417145926566,-0.32022515264497586,9.392676312230307,0.6092305073743193,0.6092305073743193,0.1956949345880496,0.8849350206625434,7.993129338865366,0.019982823347163416,1.0,0.0,0.0,0.12027648821190273,0.17441548158463693,0.13257839653188896,False,2,Momentum 90 j,0.12964241750539296
2026,153,-0.011301710194349668,0.11913932647598086,-0.168545057135183,-0.06731986174674043,12.863641976380386,153,-0.2320665496686607,0.5043069450855555,-0.9954277916374814,-0.3511221764056307,7.212950328296465,0.22603081239830478,0.26393930913033087,-0.1,0.6027840583072537,2.4462671684136184,0.006115667921034046,0.8104575163398693,0.1895424836601307,0.0,0.22076483947431103,0.38516761860957466,0.2838023146588903,True,4,Momentum 270 j,0.06606793783148213
